phoneme: correlation_coefficient latitude longitude
d:  0.80125 0.00516 0.00318
e:  0.76844 0.00476 0.00274
z:  0.70021 0.00189 0.00103
u:  0.65474 0.00403 0.00155
g:  0.45619 0.00215 0.00087
n:  0.40901 0.00230 0.00182
q:  0.19063 0.00038 0.00036
b:  0.18601 0.00054 -0.00005
p:  0.08714 0.00005 0.00016
f:  0.07451 0.00005 -0.00007
a:  0.06586 0.00058 0.00116
s: -0.00161 -0.00001 -0.00019
r: -0.12212 -0.00044 0.00019
o: -0.22344 -0.00105 -0.00097
m: -0.31789 -0.00087 -0.00082
t: -0.52197 -0.00265 -0.00172
k: -0.57878 -0.00266 -0.00132
j: -0.60315 -0.00146 -0.00080
h: -0.61463 -0.00176 -0.00083
w: -0.63850 -0.00127 -0.00096
i: -0.64889 -0.00610 -0.00343
y: -0.70803 -0.00240 -0.00136
c: -0.74306 -0.00123 -0.00056

ranking for latitude: start
phoneme: correlation_coefficient latitude longitude
d:  0.80125 0.00516 0.00318
e:  0.76844 0.00476 0.00274
u:  0.65474 0.00403 0.00155
n:  0.40901 0.00230 0.00182
g:  0.45619 0.00215 0.00087
z:  0.70021 0.00189 0.00103
a:  0.06586 0.00058 0.00116
b:  0.18601 0.00054 -0.00005
q:  0.19063 0.00038 0.00036
f:  0.07451 0.00005 -0.00007
p:  0.08714 0.00005 0.00016
s: -0.00161 -0.00001 -0.00019
r: -0.12212 -0.00044 0.00019
m: -0.31789 -0.00087 -0.00082
o: -0.22344 -0.00105 -0.00097
c: -0.74306 -0.00123 -0.00056
w: -0.63850 -0.00127 -0.00096
j: -0.60315 -0.00146 -0.00080
h: -0.61463 -0.00176 -0.00083
y: -0.70803 -0.00240 -0.00136
t: -0.52197 -0.00265 -0.00172
k: -0.57878 -0.00266 -0.00132
i: -0.64889 -0.00610 -0.00343

ranking for longitude: start
phoneme: correlation_coefficient latitude longitude
d:  0.80125 0.00516 0.00318
e:  0.76844 0.00476 0.00274
n:  0.40901 0.00230 0.00182
u:  0.65474 0.00403 0.00155
a:  0.06586 0.00058 0.00116
z:  0.70021 0.00189 0.00103
g:  0.45619 0.00215 0.00087
q:  0.19063 0.00038 0.00036
r: -0.12212 -0.00044 0.00019
p:  0.08714 0.00005 0.00016
b:  0.18601 0.00054 -0.00005
f:  0.07451 0.00005 -0.00007
s: -0.00161 -0.00001 -0.00019
c: -0.74306 -0.00123 -0.00056
j: -0.60315 -0.00146 -0.00080
m: -0.31789 -0.00087 -0.00082
h: -0.61463 -0.00176 -0.00083
w: -0.63850 -0.00127 -0.00096
o: -0.22344 -0.00105 -0.00097
k: -0.57878 -0.00266 -0.00132
y: -0.70803 -0.00240 -0.00136
t: -0.52197 -0.00265 -0.00172
i: -0.64889 -0.00610 -0.00343
