2.こどものころの衣服

話し手
（略号）　（氏名）　　（性）　（生年）
　Ａ　　　山室　二郎　　男　　明治31年生まれ〈司会役〉
　Ｂ　　　山室　富江　　女　　明治41年生まれ
　Ｃ　　　坂本　アイ　　女　　明治27年生まれ
　Ｄ　　　坂本　ヨシノ　女　　明治36年生まれ
〔Ｅ　　　佐藤　虎男　　男　　大正15年生まれ〈同席担当者〉〕


0417301|Ａ|キモノーデ　ソノ　ハカマモ　ナンニモ　ツケズニ　キモノダケデス。|着物で　その　袴も　なんにも　つけずに　着物だけです。
0417303|Ｅ|ハー。オバーチャンモ　ソー　ナンデショ。ミナ。|はあ。おばあちゃんも　そう　なんでしょ。みな。
0417304|Ｃ|〈ソーデス〉。|そうですよ。
0417305|Ｄ|〈ソーデ｛ス｝〉［1］。|そうですよ。
0417306|Ｅ|ハー。オトコモ　〈オンナモ〉。|はあ。男も　女もね？
0417307|Ｃ|〈オトコノ〉コーワ　ホンデモ　ドヤロ。【ソ】　ドコヤラ　ホドカラ　オトコノ　コーワ　【フク　キ】、フクヤ　ナイ　ワ。アノ、ハカマ　ハキダシタノデ　オナコ゜ノコーワー　アノー　ナニ　ソリャー　マー　フクヤ　ナイ、ハカマヤケードー　【ウ】　ウンナシ　フクデワ　ドモナラン、【ハ】　ハカマデワ　ドモナランデ　オナコ゜ワ　オナコ゜ラシー　ハカマナリ　（Ｅ　ヘー。）　オトコワ　フクナリデシタンヤ。|男の子は　それでも　どうでしょ。どのあたり　ほどから　男の　子は　服を　着、服じゃ　ない　わ。あの、袴　はき始めたので　女の子は　あのう　なに　それは　まあ　服では　ない。袴だけれど　同し　服では　つごうがわるい、袴では　つごうが悪いから　女は　女らしい　袴だし　（Ｅ　ええ。）　男は　服だし、だったんですよ。
0417406|Ｅ|ハー。（Ｃ　ヘー。）|はあ〔そうですか〕。（Ｃ　はい。）
0417407|Ｄ|アレカ゜　モー　シキカ　コートー　〈イケ｛ヘナ〉ンダラ｝　（Ｃ　〈シキカ〉…）　ハカマ｛ジャ｝　ナイ　ン。ジンジョージブンワ　キモノバーッカリ…《笑》|あれが　もう　式か　高等〔小学校〕へ　行かなかったら　（Ｃ　式か…）　袴では　ないのね。尋常〔小学校〕時分は　着物ばかり…　《笑》
0417410|Ａ|ソラ　キモノバッカリイス。ウン。|そりゃ　着物ばかりですよ。うん。
0417411|Ｂ|ウン、パンツナー　ハケヘナンダデ　ナー。アンタ。オコシデ　ナー。｛デルモンデ｝　《笑》|うん、パンツなど　はきはしなかったからねえ。あんた。おこしで　ねえ。出るもんだから　《笑》
0417413|Ｄ|コナイダモ　ウンドーカイニ　〈｛　　｝〉。|こないだも　運動会に
0417501|Ｃ|モー　ダンダン　トシカ゜　ヨル　チュート　ミンナー　オマイラー　ガッコー　ドナイ　シテ　イッチャッタンジャ　イナー　ユーテ　ユーク゜ライ　ナリマシタ　ナー。（Ｅ　ハー。）　エー。|もう　だんだん　年が　よる　というと　みんなが　「おまえら　学校へ　どのように　して　行ったんだい、〔いったい〕」　と言って　言うぐらいに　なりました　ねえ。（Ｅ　はあ。）　ええ。
0417504|Ｂ|ワタシノ　シトツオボエワ　ネー。（Ｅ　ハー。）　ワタシ　イマ　コンナ　アノー　シマノ　キモノ　キトルケード［2］。|わたしの　一つおぼえは　ねえ。わたし　今　こんな　あのう　縞の　着物を　着てるけど。
0417506|Ｃ|テーデ　オッタバッ｛カシ〈ヤ　ユテ｝〉　《笑》|手で　織ったばかりだと　言って　《笑》
0417507|Ｂ|〈ヘー〉。コレ　ムスメカ゜　アノ　ツネニ　キー　ユーテ　モテ　キテ　ホシテ　コレオ　キトリマスカ゜　エ。コノ　コンナ　シマオ。（Ｅ　ハー。）　コノ　シマノ　ネー。コノ　アイタ　トコ　ナイ　ヤツデス　ワナ。（Ｅ　ハー。）　コーンナンノ　【ヒッツケ】　ツヅイタ　ヤツノ　コレワ　マー　ウールヤケード　アノー　モメンデ　ネー。（Ｅ　ハー。）　コンナンオ　イッタン　カイマシテ　ネァー［3］。【ハ】　アノー　ハハカ゜。ホシテ　アノ　ナンデス　ワナ。キモノワ　マー　ヨツミヤデ　デキルケ｛ド｝　ソレカラ［4］　カバンモ　ソレデ　シテ　ネー。カバン　ユーヤカ　ザツノー　ユーヨッテ　ナー。〈ナーア。ヘー〉。|はい。これ　娘が　不断着に　着よ　と言って　持って　来て　そして　これを　着ていますが　ね。この　こんな　縞を。（Ｅ　はあ。）　この　縞の　ねえ。この　空いた　所　ない　分です　わよ。（Ｅ　はあ。）　こんなものの　ひっつけ　続いた　ものの　これは　まあ　ウールだけれど　あのう　木綿で　ねえ。（Ｅ　はあ。）　こんなのを　一反　買いまして　ねえ。あのう　母がね。そして　あの　なんです　わよ。着物は　まあ　四ッ身だから　できるけど　それから　かばんも　それで　作って　ねえ。かばん　と
言うのか　雑嚢　と言っていて　ねえ。ねえ。はい。
0417604|Ｄ|〈フルシキ　｛ツカイ｝〉ヨッタ　デ。〈ウチラ〉。|風呂敷を　使っていたよ。わたしたち。
0417605|Ａ|〈フルシ〉キヤ。モトワー。|風呂敷だ。もとは。
0417606|Ｃ|モトワ　イチバン　モトワ　〈フルシキ｛ヤ｝〉。（Ａ　フルシキ　バッカリ）|もとは　いちばん　もとは　風呂敷だよ。（Ａ　風呂敷　ばかり）
0417607|Ｂ|〈ウチラワー〉　フクロオ　〈ナー。コーシテ　モーテ…〉|わたしたちは　袋を　ねえ。こうして　もらって…
0417608|Ｄ|〈フルシキ　コー　オーテ　カサオ　コー　サケ゜テ〉。|風呂敷を　こう　負って　傘を　こう　さげて。
0417609|Ｂ|ホテ　マタ　ゾーリ　イレル　フクロモ　ソノ　ノコリデ　シテ　モロテ　マンダ［5］　アノー　モシモ　アノ　ナンドー　モッテカン　ナン　トキカ゜　アッタア　ゾリカ゜　ヤブレル　ユーデ　モッテ　イッテン　コーモ　アリヨッタケド　ワタシトコワ　ヨー　ツクッテ　ナカッタサカイデ　ホンデ　アノー　ヘラコヤッタケード［6］　ソノ　ヘラコー　アシタ　テンキガ　ミン　ナンサカイ　ヒックリカヤスト　ワレル　トキカ゜　アリヨリマシテ　ナー。ホンデ　ゾリモ　《笑》　トチューノ　オバハンニ　モロタ　コトガ　ワタシ　アリマスカ゜　エー。クボ　トーッテ。ホンマニ、ヨー　アンナ　コト　シテ　イッター　オモイマス。（Ｅ　アー。）　ワタシカ゜　ゴネンノ　トキニ　ハジメテ　コンニャクノ　クツカ゜　デキタンデス　デ。|そして　また　草履を　入れる　袋も　その　残りで　して　もらって　まだ　あのう　もしも　あの、なんか　持って行かねばならない　時が　あったら　草履が　破れる　言うから　持って　行く　子も　あったものだけど　わたしとこは　よう　作られ　なかったから　それで　あのう　へらこだったけれど　その　へらこ、あした　天気が　見ねば　ならないから、ひっくりかえすと　破れる　時が　あったりしまして　ねえ。それで　草履も　《笑》　途中の　おばさんに　もらった　ことが　わたし　ありますが　ねえ。久保を　通って。ほんとに　ようこそ　あんな　ことを　して　行ったと　思いますわ。（Ｅ　ああ。）　わたしが　五年の　時に　はじめて　こんにゃくの　靴が　できたんです　よ。
