9.農家の主婦の苦しみ楽しみ

話し手
（略号）　（氏名）　　（性）　（生年）
　Ａ　　　渡辺　信一　　男　　明治43年生まれ
　Ｂ　　　渡辺　久子　　女　　大正7年生まれ
　Ｃ　　　渋谷　計二　　男　　昭和2年生まれ〈司会役〉


0427301|Ａ|ソラ　ムコハンカ゜　ヨカッタデ｛ジェー｝［1］。《笑》|そりゃ、むこどのが　よかったからだよ。《笑》
0427302|Ｂ|ソラ　ソー　ユータラ…　《笑》　ホヤケド。|それは　そう　言ったら…　《笑》。だけど。
0427303|Ａ|ケド　マー　（Ｂ　ホンデモ…）　アノー　タカイ　タカイ　ユーケードー　アノー　ヤシロノ［2］　ホーヤラー　マタ　アノー　シモノ　ホーノ　【オガ】　オガエノ［3］　チカクノ　アノー　オンナシ　オガエデモー　コッチノー　クリムラノ［4］　ホーノー　ドエライー　タカイ　トコモ　アルシ　ノー。【オヨ】　オヨキ゜ラーデモ　エライ　タカイシ　マー　タカイト　イエバ　タカイモンノ　チート、ノー、タカイク゜ライデ。ソレワ。エー。マー、ホンデ　ヒャクショースルンニワ　アノー　マエワ　カタデ　モチヨッタサカエデ　イネモチスルンデモ　ナニ　スルンデモーヤッタナリ　マー　オマエカ゜　キテカラー　アノ　リヤカーモ　アリ、ナヤカイ　｛スルデ｝　ホラ　リヤカー　ヒッパッタリ　ナンカエ　スルンニ　アノー　オクノ　ホーデ　タカイデー　マー　タカツキデモ　タカイ　トコヤサカイデ　エライトワ　【オモッタケー】　オモトルケード　ヤッパー　ソレ【ニ】ーカ゜［5］　イチバン　クルシカッタヤ　ナイ　コ。|けど　まあ　（Ｂ　だけど…）　あの　高い　高いと　言うけれど　あのう　八代の　ほうやら　また　あのう　下の　ほうの　小貝の　近くの　あのう　同じ　小貝でも　こっちの　栗村の　ほうの　ひどく　高い　所も　あるし　ね。於与岐なんかでも　ずいぶん　高いし、まあ、高いと　言えば　高いものの、すこし、ねえ、高いぐらいでさ。それはね。まあ　それで　百姓するためには　あのう　以前は　肩で　持っていたから、稲持ちするにも　なに　するにもだったし、まあ、おまえが　来てから　リヤカーも　あり、あれこれ　するから、そりゃ　リヤカーを　ひっぱったり　あれこれ　するために　あのう　奥の　ほうで　〔土地が〕高いから　まあ　高槻でも　高い　所だから　つらいとは　思っているけれど　やっぱり　それに〔それ〕が　いちばん　苦しかったんじゃ　ない　かい？
0427409|Ｂ|ソーヤ、｛フン｝。（Ａ　フン。）　ホシテ　アノー　コノ　ターニ　ヒルカ゜　ヤット　オッタンカ゜　イチバン　コワカッタ。ナントモ　イエン　ソレワ　モー。コワカッタデス。ターニ。オヒルマエン　ナッタラ　ドーニモコーニモ　ヒルデ　ヒルデ　【ブル】　テーニモ　ヒッツクシ、ホスト　オヌイチャンカ゜［6］　オヌイチャンカ゜　アノー　イヤシンボスルノワ　ヨケ　テーニ　ヒッツクノヤ　デッテ　ユーテ　｛ユーチャッ｝タク゜ライデ　テーニ　ヤット　ヒッツキヨッタデ。|そうです。ええ。（Ａ　ふん。）　そして　あのう　この　田に　蛭が　たくさん　いたのが　いちばん　こわかった。なんとも　いえない〔くらいに〕　それは　もう。こわかったです。田にね。お昼前に　なったら　どうにもこうにも　蛭で　蛭で　手にも　くっつくし、そうすると　おぬいちゃんが　おぬいちゃんが　あのう　「いやしん坊をする者は　それだけたくさん　手に　くっつくのだ　よ。」って　言って　言われたくらいで　手に　たくさん　くっついたりしたものだから。
0427503|Ａ|ソージャ。マー　〈｛アノ　ジブンニワ｝〉|そうだ。まあ　あの　ころには
0427504|Ｂ|〈モー　ホンマニ〉　ナワデ　サラエタイホド　ヒルカ゜　オッタカ゜　ワスレヤセン…|もう　ほんとに　縄で　さらえたいほど　蛭が　いたが　忘れられない…
0427506|Ａ|ナカ゜ク゜ツモー　ナカッタシ。|長靴も　なかったし。
0427507|Ｂ|ワタシトコワ　アッタンデスケド。（Ａ　〈フン〉。）　〈ホン〉デモ　ハジメー　ニサンネンワ　ハイタケド　オヌイチャン　カタズイチャテカラ　モー　ワタシ　シトリ　シコ゜ト　｛センヨーン［7］　ナッ｝タラ　モー　ヨクモ　【ナンニ】　ヨーニ　ソンナ　クワイカ　ナンジャ　ユー　コトワ　モー　ワスレテ　ナカ゜ク゜ツ　ホカイテ　ハイタ　ユーンワ　ノコリマス。｛キョービ｝。（Ａ　フーン。）　ソレワ　ソレダケ　ヨー　オボエトリマス。（Ａ　フン。）　｛フン。ソレダケ｝　ワタシニモ　ヨクカ゜　デキタカ［8］　ドージャ　シランケード。ソラ　コワイ　トコヤッタデス。|わたしの実家は　〔それが〕あったんですけど。それでも　初め　二・三年は　はいたけど　おぬいちゃんが　嫁にいかれてから　もう　わたし　一人　仕事を　しなけりゃならなく　なったら　もう　欲も　とても　そんな　こわいとか　なんとか　いう　ことは　もう　忘れて　長靴を　投げ捨てて　〔田に〕入ったと　いうことは　〔記憶に〕残ります。今日でも。（Ａ　ふーん。）　それは　それだけは　よく　おぼえていますわ。（Ａ　ふん。）　わたしも　欲が　出てきたか　どうか　しらないけれどね。それは　こわい　所だったですわ。
0427603|Ａ|フン。マー　アレ、アレモ　イシバイ　マイタリナンカイ　スルトー　ヒルモ　ナニヤラー　スルジャロケード　（Ｂ　マー　エビカ゜ニカ゜ー〈｛…　　｝〉）　〈エビカ゜ニカ゜ー　デカケテ〉カラ　スクノ　ナッタ　〈ノー、オイ。ヒルワ〉［9］。ヘー。ソラ　オマー、エビカ゜ニモー　ナニヤロ　カ゜イヤ。アノー　タタミ　ニマイジキホドニ　バケツニ　ハンブンホド　タマルホドー　エビカ゜ニカ゜ー　オッタンヤデ　ノー。ソラー。（Ｂ　ウン。）　ハジメワ　ドエライ　エビカ゜ニモー　サカ゜シテー　チョーホーナ　モンジャッタンヤケード　ナニヤカ゜ナー。モー　イマデコソー　ミネ［10］　キッタリナンカイ　シテカラニ　ダイブ　メーワクニ　ナルケド　アノ　ジブンニヤー　ドエライ　メズラシカッタン＾ヤ　ノー。アレ。|ふん。まあ　あれ、あれも　石灰を　撒いたりなんか　すると　蛭も　いなく　なるんだろうけど　（Ｂ　まあ　えびがにが）　えびがにが　出はじめてから　すくなく　なった、ねえ　おまえ。蛭は。うん。そりゃ　おまえ、えびがにも　なんだろう　かね。あのう　畳　二枚敷くらいに　バケツに　半分ほど　たまるほど　えびがにが　いたんだから　ねえ。そりゃ。（Ｂ　うん。）　はじめは　とても　えびがにも　探して　重宝な　ものだったんだけれど　なんだねえ。もう　今でこそ　稲を　切ったりなんか　して　それで　だいぶん　迷惑に　なるけど　あの　ころには　ひどく　珍らしかったんだ　ねえ。あれ。
0427701|Ｂ|メズラシカッター。（Ａ　ウン。）　ウチ　オッタラ　エーノニトオモ〈｛　　｝〉|珍らしかった。（Ａ　うん。）　うちに　いたら　いいのにと思っ
0427703|Ａ|〈エー〉。ジャコカ゜　ナカッタリナンカイ　シタデ　アエ　シタノー　オジーカ゜タ　カイノー。アノー　ダシニ　ショー　ユーテ　ムシットイテ　ホシテー　ナンヤ　シタンジャカ゜　アノ、ダシニ　カワリニ　ツコタリ　ニワトリノ　エサニ　トッテ　キテ　ヤッタリ　シタ　コトカ゜　アッタ　ノー。アレ。（Ｂ　ウン。）　ウン。マー　ナンヤロ　カ゜ヤ。アノ　ヒルニワ　オマエモ　ヨワッタヤロ。（Ｂ　ウン。）　ケド　マー　【センソー】　センソーチューナリ　アノー　ドエライ　オマエト　フタリデ　アッチー　イキー　コッチー　イキー　シタ　コトモ　ナカッタ　ノー。ホンデモ。（Ｂ　《笑》）　アッチエ　イコニモ　キシャノ　〈キップモ　カエンナリ〉|ええ。じゃこが　なかったりなんか　したから、あれ　下の　おじさんの家　かねえ。あのう　だしに　しようと　言って　むしっておいて　そして　なんか　したんだが、あの、だしに　かわりに　使ったり　にわとりの　餌に　取って　来て　やったり　した　ことが　あった　のね。あれ。（Ｂ　うん。）　うん。まあ、なんだろう　がね。あの　蛭には　おまえも　困っただろう？（Ｂ　うん。）　けど　まあ　戦争中だし　あのう　ずいぶん　おまえと　二人で　あっちへ　行き　こっちへ　行き　した　ことも　なかった　ね。だけど。（Ｂ　《笑》）　あちらへ　行こうにも　汽車の　切符も　買えないのだし
0427713|Ｂ|〈｛　　｝ノ　オジ〉ゾーサンイ　ツレテ　マイッテ　モライマシタ　ナ。ホシテ　カエリニ　コームリ　マーッテ　（Ａ　コームリ　マーッテ。）　エーガィ　イッテ　カイッタ。|お地蔵さんへ　連れて　詣って　もらいましたわ　ね。そして　帰路に　河守に　廻って　（Ａ　河守へ　廻って）　映画へ　行って　帰った。
0427803|Ａ|ソヤソヤ。|そうそう。
0427804|Ｂ|ソエダケ　ノコリマス　ワナ。《笑》|それだけ　〔記憶に〕残ります　わよ。《笑》
0427805|Ａ|ウーン。《笑》　エーカ゜　ミテ。マタ　ノー［11］。〈ソレモ　…　　〉|うーん。《笑》　映画　見て。また　ねえ。
0427806|Ｂ|〈【ソノ　トキ】〉　ソノ　トシカラ　デケタンデス　デ。アレ。ホンマニ。コドモカ゜。|その　年から　できたんです　よ。あれ。ほんとに。子供が。
0427808|Ａ|カミシンジンヤッタ　ノー。ア〈レモ〉。（Ｂ　〈ウン〉。アレワ　〈ホイデモ…〉）　〈ニネンメ〉ヤッタ　コ。|神信心だった　ねえ。あれも。二年目だった　かい？
0427810|Ｂ|｛ハジメデシタ　ノーオ｝［12］。ニネンメ。|初めでした　ねえ。二年目
0427811|Ａ|ヤッパリ　ホンデ　カミシンジンモ　セン　ナン　ワイヤ。ホデ　ドヤ　イノー。キョートノ　アノー、【ドーブ】　ドーブツエンエ　ヤスコヤッタ　カイノー。ツレテ　イッタンワ。|やっぱり　それで　神信心も　しなくちゃ　ならない　わい。で　どう　かねえ。京都の　あのう、動物園へ　康子だった　かねえ。連れて　行ったのは。
