１．電話交換嬢とのデート

話し手
（略号）　（氏名）　（性）　（生年）
Ａ　　　内海春吉　　男　　大正８年生まれ
Ｂ　　　本郷しげ　　女　　大正７年生まれ

0514201|Ａ|アー　オラー　エロケ　デカ゜ゲダ　コロダオンナー|おれが　色気　出かかった　頃のことだよな。
0514202|Ｂ|アエズ　ハズカ゜ズガラ　ハズマッタンダオン［1］ナ　（Ａ　ンー）　オラ　（Ａ　ン）　スズカ゜ズニ　コーシュージョサ　ヤラッテサ　（Ａ　ンー）　エッカケ゜ズガンツーノー　コーシュー　ヤラシェラッテ　（Ａ　ンー　ンー）　ソーシテ　ホンニ　スボラッタモンダッタ　エッカケ゜ズガンツノ|あれは　八月から　始まったもんだもんな。わたしは　７月に　講習所へ　やられてさ、一か月間というもの　講習を　〔受け〕させられて　そして　ほんとに　しぼられたもんだった　一か月間というもの。
0514206|Ａ|ンダゲットモ　スボラッタカモ　スンネァゲットモヤー　アラマ［2］サ　デンワ　ハズメデナンダオン　（Ｂ　フン）　ホンドギ　アノー　オメァーラ　アレー　ハガマ　ハエデ　アルグドギ　オラ　ホンニ　ウッショガラ　ミデ　ホンニ　ホレタ　モンダッタナー|だけど　しぼられたかも　知らないけれどもね　荒浜に　電話　初めてなんだもの。その時　お前たち〔が〕　袴〔を〕　はいて　歩く時　おれは　ほんとに　後から　見て　ほんとに　惚れた　ものだったな。
0514301|Ｂ|《笑》　マダ　コレー　ホンニ|《笑》　また　これ　ほんとに。
0514302|Ａ|ホステ　マダ　｛ホンニ｝　デンワ　カゲッツード　ホンニ　アノ　コエ　ナンツーガ　ワヒェランニェ［3］ガッタ　モンダドヤ　〈ンー〉|そして　また　電話　かけるというと　ほんとに　声〔が〕　何というか　忘れられなかった　ものだったよ。
0514304|Ｂ|〈エマ〉　スワクチャババニ　ナッテ　ワカンネァワナ|今　しわくちゃ婆に　なって　だめだね。
0514305|Ａ|オダケ゜ァニ　コレナ　（Ｂ　ンー）　〈ホンデモ〉|お互いに　これね　それでも。
0514306|Ｂ|〈デモ〉　ハルサン［4］　カワンネァノー|でも　春さん　変わらないね。
0514307|Ａ|オメァラ　ホンデモー　ナンダ　（Ｂ　フン＾）　コエ　エーガラ　ハリ　アッカラ　エーケンドモヤ　（Ｂ　ンーンー）　アノー　｛トーズ｝　マダ　デンワバンコ゜ー　ナー　アノー　オラ　ンー　セリバ　エタンダエットモ［5］　ヨンバンダナンテ　アン＾ツケラッテナー　（Ｂ　ンー）　ステ　アドー　アレー　ヨンズークバンツノ　アノ　クスリヤデ　トッタンダエナ　デンワバンコ゜ーネ　（Ｂ　ンー）　ソエズ　ホガデ　【ヨン】　ヨンズークバンツノ　スン＾ジュー　クロー　スル　スン＾ジュー　クロー　スルッテ　ダレモ　トンネァガッタ　モンダエ　（Ｂ　ンー）　ホースタッケ　アレ　クスリヤノ　オヤン＾ズ　オレ　トルッツテ　ナンダッツタラン＾バ［6］　ヨク　ナオルッテ　エツバン　エーンダガラツッテ　（Ｂ　《笑》）|お前たち　それでも　なんだ　声〔が〕いいから　〔声に〕張り〔が〕　あるから　いいけれどもね。当時　まだ　電話番号〔についてはね〕　おれは　魚市場に　いたんだけれども　四番だなんて〔縁起の悪い番号を〕　あずけられてね。そして　四十九番というの　薬屋で　取ったんだよな　電話番号　それ　ほかで　四十九番というの　始終　苦労　する　始終　苦労　するといって　誰も　取らなかった　もんだよ。そうしたら　薬屋の　親父が　おれが　取るといって〔いた〕。どうしてだと質問したら　よく　治るって　一番　いいんだからって　（Ｂ　《笑》）
0514404|Ａ|アノ　ホノ　バンコ゜－　トッタモンダッタドヤ　（Ｂ　ンー）　オラ　アエズー　キーデデ　ナルホン＾ドト　《笑》　オモッタッタ［7］　ゴド　アッタッタナー　（Ｂ　ンー）　ンー|その　番号を　取ったもんだったよ　おれ　それを　聞いていて　なるほどと　《笑》　思った　こと　あったっけな。
0514407|Ｂ|ヨーグ　コノ　ハルサンモ　【ヨ】　ヨル［8］サエ　ナッツード　デンワ　カゲデ　ヨゴスタモンダッタ　トマリデナー|よく　春さんも　夜に　なるというと　電話を　かけて　よこしたものだった　泊りでね。
0514409|Ａ|ンダー　オラ　マエニズ　トマッテダガラ　（Ｂ　ホンニ）　ンー　マエバン　〈トマッテダガラ〉　（Ｂ　〈アノー〉）　ホエデモ　デンワ　カゲデァクテ　トマッテタンダモン|そうだ　おれは　毎日　泊まってたから　毎晩　泊まってたから　それも　電話を　かけたくて　泊まっていたのだもの。
0514412|Ｂ|アー　ンダノ　（Ａ　ソー）　ダレノガノ　タカハスノ　コエ　キグデァグデダッチャ　（Ａ　ンー）　ミヨコノ|ああ　そうなの。誰の〔声〕…。高橋の　声〔を〕　聞きたくてだよね。みよ子の。
0514501|Ａ|アー　ホンダ　ミヨチャン〈ラモ　エダンダナ　オンナ〉|ああ　そうだ　みよちゃんたちも　いたんだな。
0514502|Ｂ|〈ミヨ〉コチャンノ　コエ　キクテァクテ　カケテ　ヨコスンダベッチャー|みよ子ちゃんの　声〔が〕　聞きたくて　かけて　よこしたんでしょうよ。
0514503|Ａ|アンドギー　ホデネァンダ　アノ　アレ［9］　ワダリ［10］ガラモ　キッタンダッタナー　ワダリガラ　（Ｂ　アー　ウン）　ンー　（Ｂ　ウン）　ワダリガラモ　キテデ［11］〈｛　　｝〉|あの時　そうでないんだ　あれ？　亘理からも　〔交換手が〕来ていたんだったな　亘理から　亘理からも　来ていて……。
