15．小正月の行事

話し手
Ａ　佐直　きえ　女　明治36年生まれ
Ｂ　高梨八太郎　男　大正3年生まれ
Ｃ　佐直まさゑ　女　明治34年生まれ
Ｄ　矢作　春樹　男　昭和6年生まれ（研究員）

0112601|Ｄ|ムガシノ　コー　ネンチューギョージデネ　（Ａ　ンー）　ミーサ　カナモノ　ミナ　アケ°デナテ　ユナァヨ　（Ａ　ンー）　ナガナガ　ハナスシテケル　シト　エネナヨ。|昔の　こう　年中行事でね　（Ａ　ん）　箕に　金物〔を〕　すべて　上げてなんて　いうの〔は〕よ　（Ａ　ん）　なかなか　話してくれる　人〔は〕　いないのよ。
0112604|Ａ|ンダ　ハエーヅワ　ドゴデモ　ンデモ…。|そう　それは　どこでも　でも
0112605|Ｂ|ンダ　【ミナ】　〈ミナ　シタモンダモナｪ〉。|そう　すべて　やったもんだものね。
0112606|Ａ|〈ショーカ°ヅワ　ミ〉ナナヤ。（Ｂ　ンー）ホダナ　モヅー　アケ°…　ナリトリモヅ　コー　シトグミン＾ヅヅ　ホレ。（Ｂ　ン）　アケ°ダナヅダナナヤ。|正月は　すべてなあ　（Ｂ　ん）　そんな　餅〔を〕　供え　お供え餅〔を〕　こう　一組ずつ　ほれ　（Ｂ　ん）　供えたもんだよな。
0112701|Ｂ|カナモノー。（Ａ　ンー）　ワレダバリ［1］　ヤスンデ　ワガンナェテ。カナモノモ　カシェーダンダ〈ゲ　ヤスマシェランナネーテ〉　〈シタモンダモ〉。|金物〔に〕　（Ａ　ん）　自分達ばかり　休んで　だめだって。金物〔も〕　働いたんだから　休ませなければならないって　〔お供え〕したもんだもの。
0112704|Ａ|〈ン　ネンジュー　ホレ　ツカウモノ〉ヅダナ　（Ｃ　〈ジェンブナ〉）　ホエジョドガ　コカ°ダナドガ　ホレ　カワムギドガ　ホレ　ナニドガテヤナ　フラエパントガテ　ホレ…＊|ん　年中　ほれ　使う物をだな　（Ｃ　全部な）　庖丁とか　小刀とか　ほれ　皮むきとか　ほれ　なにとかってね　フライパンとかって　ほれ＊
0112707|Ｂ|ヤッパリ　ヅコ°グモ　ホレ　カマノ　フタモ　ミナ　アグナダハゲ。|やっぱり　地獄も　ほら　釜の　ふたも　みな　開くのだから。
0112708|Ａ|ンーダ　〈ジューログニヅワナヤ〉。|そう　十六日はなあ。
0112709|Ｂ|ヤスマシェンナダデ　ユナデ　（Ａ　ンー）　ホユー　イミニ　トッタンダベ　ムガスナァ。|休ませるんだって　いうので　（Ａ　ん）　そういう　意味に　取ったんだろう　昔はなあ。
0112711|Ａ|ンーダ　ンダゲ　ツネニ　ツカウ　ドーク°チャダテ　ホレ　モヅ　カヘランナネーテ　ユー　ワゲデ　（Ｂ　ンダ）　ホレ　ミナナヤ。|そう　だから　常に　使う　道具にだって　ほら　餅〔を〕　食わせなければならないって　いう　わけで　（Ｂ　そう）　ほら　全部にね。
0112713|Ｃ|カキ°サモ［2］　（Ａ　ン　ンダ）　モヅ　クツケデネー　（Ａ　ンー）　ユッテ。|鉤にも　（Ａ　そう　そう）　餅〔を〕　結わえつけてね　（Ａ　ん）　結って。
