２．うわさ話など

話し手
　Ａ　武田　ふさ　　女　明治32年　富山村生れ
　Ｂ　田辺　正一　　男　明治34年　富山村生れ
　Ｃ　堤　　ふじよ　女　明治39年　富山村生れ
〈Ｙ　山口　幸洋　　男　昭和11年　静岡県新居町生れ〉

0333501|Ｃ|…　ゴザイマス|ございます
0333502|Ｂ|オアツーゴザイマス|お暑うございます
0333503|Ｃ|ネトッテ　ネタボケテ　ハイッテキタ|寝ていて　寝ぼけて　入ってきた
0333504|Ａ|ヨク　キテクレテ　イーアンバイデ　ゴザイマス|よく　来てくれて　良い案配で　ございます
0333505|Ｂ|イーアンバイデ　ゴザイマス　ソラソラ　ゴクローダッタ|良い案配で　ございます　それはそれは　ごくろうさまでした
0333506|Ｃ|アノ　チョット　カゼケダモンデネー　ネビエオ　シテヨー|あの　ちょっと　風邪気だからね　寝冷えを　してね
0333507|Ｂ|ア　ホニホニ|あ　本当に！〔そうですか！〕
0333508|Ｃ|ケサ　ハラカ゜　イタカッタ|けさ　腹が　痛かった
0333601|Ｂ|…　コッチョー　チョット　…　ショーエ|こっちを　少し　しなさいよ
0333602|Ｃ|アノ　ハラカ゜　イタカッタモンダイ　モーチョット　ネテオッテネ　エー　ネトーッテ　ネーットッタラ　オバーチャ　ドーモ　ソイジャー　マー　ドッコモ　ヤメルジャ　ナイシ　ソリャ　チョットアイ　カジッテ　コス[13]トモッテ|あの　腹が　痛かったので　もう少し　寝ていてね　ねえ　寝ていて　寝入っていたら　お婆ちゃん　どうも　それでは　まあ　どこも　痛むのでは　ないし　それは　少し　かじって〔つきあって〕　来ようと思って
0333606|Ｂ|オー　ソリャソリャ　ナニヨリダッタ|おゝ　それはそれは　何よりだった
0333607|Ｃ|ナンショ　コノ　アシノ　グアイカ゜　ワルクテネー　カシマレンデ|とにかく　この　足の　具合が　悪くてね　正座できないから
0333608|Ｂ|アーア|うん
0333609|Ｃ|チョット　カシマーッテモ　コレ　チョットコー　カシマーレルドモ　ヤーット　カシマッテ　オレン|少し　正座しても　これ　少しこう　正座できるけれども　長く　正座して　いられない
0333611|Ｂ|アーア　ショーネーワイ　アノ　アシカ゜　イテー　トテモションナイ|うん　しかたがないよ　あの　足が　痛い〔のは〕　とても困る
0333612|Ｃ|トシカ゜　イリャー　ロクナコト　ナイワイ　ケサモ　ロージンノ　コトーネー　【ヤッ】　テレビデ　ヤットッツワイネ|年を　とれば　ろくな事　ないよ　今朝も　老人の　事をね　テレビで　やっとったよ
0333701|Ｂ|アーア　ソーソーソーソーソーダ　アソコノ　トーカイ　トーカイシノ　ロージンホーム|あゝ　そうだ　あそこの　東海　東海市の　老人ホーム
0333703|Ａ|フジヨサ　イソカ゜シカッツラ|ふじ代さん　忙しかったろう
0333704|Ｃ|イソカ゜シクネー　ネトッツ[14]　ワシャー　ネトッタ　ネトッタ|忙しくない　〔私は〕寝とった　私は。寝とった　寝とった
0333705|Ａ|ネテ　オッタ|寝て　いた
0333706|Ｃ|チョット　ネズトモッテネー　チョット　ネビエダカ　ナンダネー　ケサ　ハカ゜　イタカッタモンデ　シラン　イシャイ　イッテキタモンダイネー|ちょっと　寝ようと思ってね　ちょっと　寝冷えか　何かね　今朝　歯が　痛かったので　知らない　医者に　行ってきたのでね
0333709|Ａ|ワリー|すみません
0333710|Ｃ|ソンナコタナイ|そんなことはない
