2．『麦』こぎ・『麦』すり

話し手
（略号）　（氏名）　（性）　（生　年）
　Ａ　　　溝口　誠治　男　　　大正4年生れ
　Ｂ　　　尾上　サミ　女　　　明治30年生れ

0227101|Ｂ|ウン　ムギスーリ　（Ａ　アーン）　ムギスーリャ　イッチジャ　スカンジャッタ。|うん　『麦』すり　（Ａ　ああ）　『麦』すりは　一番　嫌いだった。
0227103|Ａ|アノ　【ナツ】　ナツノ　アツカ〈サカリ〉　（Ｂ　〈アツカ〉）　ムギソリテ　ムギバ　アノー　（Ｂ　ンー）　ソイバ　シェンバデ［1］　ケーデ　ゾー。|あの　夏の　暑いさかりに　（Ｂ　暑い）　『麦』すりといって　『麦』を　あの　
（Ｂ　うん）　それを　千歯で　扱いで　だよぉ。
0227105|Ｂ|シェンバデ　ケーデー|千歯で　扱いで。
0227106|Ａ|ハタケンクリ　モッテ　イタトッテー　〈シェンババ　アノ　【シェン】〉　シェンバノ　（Ｂ　〈ン　【シェン】　シェン　シェンバデ〉）　ヒックリ　カヤランゴト　シトッテ　アシバ　キビツケトッテ［2］　ソーシテ|畑の端へ　持って　行っておいて　千歯を　あの　千歯が　（Ｂ　千歯で）　ひっくり　返らないように　しておいて　〔千歯の〕脚を　結びつけておいて　そうして
0227109|Ｂ|ハタケン　クリカラ　ケーデ　イノテキテ|畑の　端から　扱いで　担ってきて
0227201|Ａ|ソーソー。ハラ［3］　アスコン　｛トミー｝［4］　アノー　ナンバ［5］　カゲガ　ヨカ　モンジャルケン　ハジェノキノ　シタノ　ナンノッテ　キノカゲー　（Ｂ　《笑》）　ハタケン　クルリ　オッテ　ナー。ハタケン　ハシン　トコ　オッテ　サー。ムギバ　トイヨス　モナ　トイヨス。アー［6］　シェッテ　コギオッタ　ター。|そうそう。あら　あそこの　あの　どこよりも　日陰が　よい　ものだから　はぜの木の　下の　何のと言って　木の陰に　（Ｂ　《笑》）　畑の　まわりに　おって　ねえ。畑の　端の　ところに　おって　ねぇ。『麦』を　取り寄せる　者は　取り寄せる。ああ　競って　扱いでいた　んよ。
0227206|Ｂ|シェッテ　コギオッター。ケーデ　モッテキテ　ヘーテ　シノシテー［7］　ホンナコテー　アギャン|競って　扱いでいた。扱いで　持ってきて　干して　実にして　ほんとうに　あんなに〔つらい仕事はなかった。〕
0227208|Ａ|ソイデ　ソノー　〈ムギヲ　ケーデー〉　（Ｂ　〈ソギャンシカ　シヤエン〉［8］）　アン　ハシカノ［9］　ヌカットバ　アノー　ムギバー［10］　ジガジガ　スットバー　カマスン　ナキャ　ツメクーデ　サー。|それで　その　『麦』を　扱いで　（Ｂ　そんなにしか　できない）　あの　扱ぎかすが　ささるのを　あの　『麦』を　ジガジガ　するのを　かますの　中に　詰めこんで　ねえ。
0227211|Ｂ|カマスン　ナキャ　ツメクーデ　〈｛　　｝〉［11］|かますの　中に　詰めこんで
0227212|Ａ|〈ソイ〉バ　エンチャン　モッテキテ　アゲテー　ソルバ　アノー　ンー　ムギスッテ　ユーテ　ムギスッキカイッテユテ　アッタ　ター。|それを　家へ　持ち帰って　上げて　それを　あの　ん　『麦』すりと　いって　『麦』すり機械といって　あった　んよぉ。
0227301|Ｂ|アッター。|あった。
0227302|Ａ|ホンナ　アレ［12］ナンカ　（Ｂ　《笑》）　ハバノ　イクラバカ［13］　アッタ。ハバノ　コゲンナ　ヒロ　ナカッタロー。コノ　ハンダイノゴター。|ほんとに　あれなんかは　（Ｂ　《笑》）　巾が　どのくらい　あった。巾が　こんなには　広くは　なかったろう。この　飯台ぐらいだ。
0227305|Ｂ|ソギャンマデワ　ヒロ　ナカッタ。|そんなにまでは　広くは　なかった。
0227306|Ａ|ハバノ　サン　ハバノ　ニシャクゴスンバッカリ　アッタロ　カ。ニシャクゴスンバッカリ　アッタロゴタッタ。ナガレノ［14］　オーカタ　イッケンバカリ　アッタ　モンナー。|巾が　３　巾が　２尺５寸くらい　あったろう　か。２尺５寸くらい　あったようだった。長さが　およそ　一間くらい　あった　ものねぇ。
0227309|Ｂ|アッタ。|あった。
0227310|Ａ|オーカタ　【イッ】　イッケンマデワ　ナカッタロ。オーカタ　イッケ〈ン　チコー　アッタ〉。|およそ　一間までは　なかったろう。およそ　一間　近く　あった。
0227312|Ｂ|〈イッケン　チ〉コ　アッタロー｛ガ｝［15］。|一間　近く　あったろうが。
0227313|Ａ|ゴシャクバカリ　アッタロー。（Ｂ　ンー。）　ゴシャクバカリジャ|５尺くらい　あったろう。（Ｂ　うん。）　５尺くらいだろう。
0227401|Ｂ|リョーホンヲ　｛　　｝［16］|両方を
0227402|Ａ|マー　ヤク　サンジャク　ク　【サンジャクニ】　サンジャクニ　ゴシャーク　コレガ［17］　タダノ　サンジャク　サンズンジャケ　サンジャクニ　ゴシャクバカー　アッタ。ソレニ　ココントコロワー　（Ｂ　《笑》）　ナツノ　アッタカッ　サカッジャルケン　ハシカノ　ノドサン　イッテコンゴト　タオルデ　コー　クチバ　コー　キビッテ　（Ｂ　《笑》）　ソシテ　アシェワ　ダラダラ　シトッテ　【ア】　アミガサバ　カブリオッタ　タイナー。|まあ　約　３尺　３尺に　３尺に　５尺　これが　ただの　３尺　３寸だから　３尺に　５尺ばかり　あった。それに　ここの所〔当地〕は　（Ｂ　《笑》）　夏の　暑い　盛りだから　扱ぎかすが　喉へ　入ってこないように　タオルで　こう　口を　こう　しばって　（Ｂ　《笑》）　そして　汗は　だらたらと　流していて　編み笠を　かぶっていた　よねえ。
0227409|Ｂ|アミガサ〈バー〉|編み笠を
0227410|Ａ|〈アン〉　ジミガサバー［18］。|ああ　ジミ笠を。
0227411|Ｂ|アーン。ジミガ〈サバッカシャ〉|ああ。ジミ笠ばかり
0227412|Ａ|〈オトコッテ〉　オトコッチャ　オーカタ　ジミガサバ　（Ｂ　ウン。）　カブッテー|男といって　男でも　たいてい　ジミ笠を　（Ｂ　うん。）　かぶって
0227502|Ａ|ソーシテー　アルバー　ムギスリデー　エー　ムキヲ　フトール　コッチ　フトール|そして　あれを　『麦』すりで　ええ　向いを　一人　こっちに　一人
0227504|Ｂ|ムキオートッテ|向きあっていて
0227505|Ａ|ムキオートッテ　ソシテ　アルバ　ウエバ　コー　ニギットッテ　ゴリッゴリ　ゴリゴリ　アッテ　コーシテ　スッテ　ソシ［19］　｛スリアエテ｝［20］　サー。ソシテ　カミサン　デァータラ　マタ　イレテ　スッテ　アンクライ［21］　マタ　バカナ　シゴトッテ　アル　モンナ。マター。|向きあっていて　そして　あれを　上を　このように　握っていて　ごりごり　ごりごり　ほら　こうして　すって　そして　すりあげて　ねえ。そして　上の方へ　出したら　また　入れて　すって　あのくらい　また　馬鹿な　仕事って　ある　ものね。ほんとに。
0227510|Ｂ|アゲン　バカナ　シゴタ　ナカ。|あんな　馬鹿な　仕事は　ない。
0227511|Ａ|アレガ　イチバン　ツラカッタ　ナー。|あれ〔『麦』すり〕が　一番　つらかった　ねえ。
0227512|Ｂ|ツラカッタ。|つらかった。
