3．西瓜作りの話

話し手
（略号）　（氏名）　（性）　（生　年）
　Ａ　　　溝口　誠治　男　　　大正4年生れ
　Ｂ　　　尾上　サミ　女　　　明治30年生れ

0227701|Ａ|マ　ソン　ジブンカラー　シーカワ　ツクリオッタ　モンナー。ヤッパー。|ま　その　時分から　西瓜は　作っていた　ものねぇ。やっぱり。
0227703|Ｂ|シークヮワ　ツクリオッタ。〈【シークヮワー】　シークヮワ〉　（Ａ　〈【シーカワー】　シーカワ〉）　イッタンバカリズツァー　シ［1］　ツクリオッ〈タ〉。|西瓜は　作っていた。西瓜は　西瓜は　（Ａ　西瓜は　西瓜は）　一反くらいずつ　作っていた。
0227706|Ａ|〈ウン〉。シークヮワ　イマンゴト　セジナ　モ　ジキマキ［2］バカリジャッ〈タ　モンナー〉。|うん。西瓜は　今のように　しないで　もう　直蒔きばかりだった　ものねぇ。
0227708|Ｂ|〈ハー　ジキ〉マキジャッタ　｛ト｝［3］。|ああ　直蒔きだった　んよ。
0227709|Ａ|アリャ　シグヮツノー　シー［4］　ヤッパリ　アノー　ジキマキデー　ツクッテー　イマワ　モ　ジ［5］　アノー　オンショーデー　エー　ソン　カボー［6］　ン　アノ　カボチャトカ　ユーゴトカニ　ツイデ　イヤジ［7］　キロテ　レンサカー　デケンジャッタ　モンナー。|あれは　４月の　やっぱり　あの　直蒔きで　作って　今は　もう　あの　温床で　ええ　その　株を　あの　南瓜とか　冬瓜とかに　接いで　連作を　嫌って　連作は　だめだった　ものねぇ。
0227804|Ｂ|デケンジャッタ　ト。カヤッテ　ツクラン〈バ〉。|だめだった　んよ。替えて　作らなければ。
0227805|Ａ|〈キャー〉　カレテシマイオッタ　モン。|木は　枯れてしまっていた　もの。
0227806|Ｂ|ウン。|うん。
0227807|Ａ|ツズケテ　ツクレバ　イヤジ　キロテ［8］。ナンドン　ムカシャ　ヨカー　シーカノ　オンドンガ　トビゼ［9］　ヨカ　トケー　ツクッタ　トキャー　ワシガ　ヘイタイー　イタラ［10］　ンー　イク　マエヤッタラー［11］。アー　イッチョガー　ニジュッキンモ　【ニジュー】　ニジューナナ｛キ｝ン［12］　アル　シーカマデ　トッタ　テー。|続けて　作ると　連作を　嫌って。だけど　昔は　よい　西瓜が　私たちが　「トビゼ」の　よい　所に　作った　時は　私が　兵隊に　〔行かない〕　うん　行く　前だったろう。ああ　一個が　２０斤も　２０　２７斤　ある　西瓜まで　とった　が。
0227811|Ｂ|ンー。|うん。
0227812|Ａ|アリャ　アノ　マンダラジョーダケノ［13］　アノ　トビゼノ　ハタケー　ジャッタケン　サー。|あれは　あの　「マンダラジョーダケ」の　あの　「トビゼ」の　畑だったから　ねぇ。
