３．つらい農作業

話し手
Ａ　桜田　鉄彌　　　男　明治36年生れ
Ｂ　八木沢千代三郎　男　明治43年生れ
Ｃ　棟方　トミ　　　女　大正2年生れ
Ｄ　佐々木隆次　　　男　昭和10年生れ　（司会者）

0303501|Ｃ|ヤッパス　タデモ　ナンデモセァ　（Ｂ　ウン）　コエ[1]　ヘネァハン＾デ　（Ｂ　ウンウン）　タ　カデステ　マエネテ。ヅギ[2]　ハネハン＾デ　カデステ　マネテ。ウッテモ　カデステヨー。（Ｂ　ホンダエナー　ウン）　ウーン　（Ｂ　｛　　｝[3]）　ヘバ　エマダバ　【タエ】[4]　ホラ　コエ　ハルドゴデ　（Ｂ　ウン）　ナンボデモ　タ　アエ[5]ダスノー　（Ａ　アー）　ンー。エマダキャ　ドーク゜　エベァ。ムガスダバー　バッコ[6]ダノー　（Ｂ　ウン）　ハル[7]ダノッテー。（Ａ　ウン）　（Ｃ　《笑》）|やっぱり　田でも　なんでもよ　（Ｂ　うん）　肥〔を〕　入れないから　（Ｂ　うんうん）　田〔は〕　堅くて　だめだって。肥料〔が〕　はいらないから　堅くて　だめだって。打っても　堅くてよう。（Ｂ　そうだよなあ　うん）　うーん　すると　今なら　堆　ほら　肥〔が〕　はいるので　（Ｂ　うん）　いくらでも　田〔は〕　あれだしのう　（Ａ　ああ）　んー。今は　道具〔が〕　良いだろう。昔なら　馬耕だの　（Ｂ　うん）　はろうだのといって。（Ａ　うん）　（Ｃ　《笑》）
0303601|Ａ|テデバリデナー。（Ｃ　ウーン）　ハル　カゲル　ヅギノ　ヘヅネ[8]ノ　ヘヅナグ　ネノテヨー。|手でばかりでなあ。（Ｃ　うーん）　はろう〔を〕　かける　時の　つらいの　つらく　ないのってよう。
0393603|Ｂ|ヤーヤ　ハル　エヅバン。アレア　（Ａ　ウン）　ハラサ　コデァッテマッタナー。|やあや　はろう　一番。あれ　（Ａ　うん）　腹に　こたえてしまったなあ。 
0303605|Ａ|マネ　フパラヘルヤヅー[9]。（Ｂ　ウン）　ソエサ　オエノ　タダキャ　カデハン＾デヨー　（Ｂ　ウン）　ヅッパド　オサネバ　（Ｃ　《笑》）　ナケ゜ラエデ[10]　マダエナー。ゴロゴロゴロゴロテ　コロコ゜ルベー。マ　ドンドド　フッパルドゴデー　オソエバ　ハー　ムッタド　ハー　コエダ[11]アデー。カラダ　ハー　ソラ　ユツメデ。|馬に　引っぱらせるやつ。（Ｂ　うん）　それに　俺家の　田は　堅いからよう　（Ｂ　うん）　じゅうぶんに　押さないと　（Ｃ　《笑》）　捨てられて　しまうのだよなあ。ごろごろごろごろと　転がるだろう。馬〔は〕　どんどん　引っぱるので　遅いと　はあ　いつも　はあ　これなのだ。からだ　はあ　そら　ゆらめいて。
0303610|Ｂ|アエ　ハー　ナンメ[12]モ　ナー　ウン。フトリャグ[13]ダラ　フトリャグ　（Ａ　ウン）　カゲデ　マワッテヨー。|あれ　はあ　何枚も　なあ　うん。一人役なら　一人役〔を〕　（Ａ　うん）　かけて　回ってよう。
0303612|Ａ|ナンニャグモ　カゲデ　マルダジャ。|何人役も　かけて　しまうのだ。
0303613|Ｂ|ウン　カゲデ　マルダエナー。|うん　かけて　しまうのだよなあ。
0303701|Ｃ|ハルデ　ヤル　ウヅダバ　エヤ　（Ｂ　ウン）　オラタヅン＾ドダバー　マコ　ネドゴデ　（Ｂ　ウン）　サンボカデ　プタエデバリ。（Ｂ　ウン）|はろうで　やる　家なら　良いや　（Ｂ　うん）　俺達なら　馬こ〔が〕　ないので　（Ｂ　うん）　三本鍬で　たたいてばかり。（Ｂ　うん）
0303704|Ａ|ウー　マ　ネ　ヘトダバナー。|うん　馬〔が〕　ない　人ならなあ。
0303705|Ｃ|ウーウン　クダエデバリ　ハー　プタエデバリ　タ　ヤタ　モンダ。|うんうん　碎いてばかり　はあ　たたいてばかり　田〔を〕　やった　もんだ。
0303706|Ａ|ヤタモンダエナー。|やったもんだよなあ。
0303707|Ｂ|ウー　【サンバ】[14]。|うん　三番。
0303708|Ｃ|ナンボガ　スタハン＾デ　クルスン＾ダガサ[15]　ワガラネァ。|どんなにか　だから　苦しんだか　わからない。
0303709|Ｂ|サンバウヅマデナー。|三番打ちまでなあ。
0303710|Ｃ|ウン　サンバウヅマデ。エヅバンウヅステ　コンダ　ニン＾バウヅステ　（Ｂ　ウン）　コノ　コンダ　クデァダ　ドゴ　カダマルハン＾デ　（Ｂ　ウーン）　コンダ　サンバウヅテ　オゴステ　（Ａ　〈サンバウヅステナー〉）　〈ホエガラ　タ〉　カグアダモノ。|うん　三番打ちまで。一番打ちして　今度　二番打ちして　（Ｂ　うん）　この　今度　碎いた　所〔が〕　固まるから　（Ｂ　うーん）　今度　三番打ちといって　起こして　（Ａ　三番打ちしてなあ）　それから　田〔を〕　かくのだもの。
0303801|Ｂ|ニバンウヅ　エヅバン　ヘヅネスタジャ。|二番打ち〔が〕　一番　つらかったよ。
0303802|Ｃ|ニバンウヅ　エヅバン　ヘヅネ。エーマダラ　ヘバ　ナンモ[16]　キカエデバリ　ヤル　モンダドゴデー　ナ。|二番打ち〔が〕　一番　つらい。今なら　すると　何も　機械でばかり　やる　ものなので　な。
0303804|Ａ|ソエガラ　コンダ　アノ　アダリダン＾バ　ナンダエナー。ソエゴソ　ジューサンガ　ショーカ゜ッコ　オワレバ　ハー　（Ｂ　ウン）　ホガサ　（Ｂ　ウン　カロゴ[17]　ウン）　タノマエデ　サヘ[18]　トネナー。（Ｂ　【カロゴ】　〈カロゴニ　エダリ[19]ナー〉）　〈ウン　ワン＾ツカダネ〉[20]　ハー　（Ｂ　ウー）　ウ　ショカ゜ッコ　オワレバ　ハー　（Ｂ　ウー）　サヘ　トネ　ドゴダラ　ドゴサ　エゲーテ。ウー。ヘバ　ハー　ホレ　アサマネ　ハヤグ　クレァガラ　オギテ[21]　ショカ゜コ　オワテガラ　ハー　ワン＾ツカダ　ヤヅヨー　（Ｂ　ウン）　サヘ　トネ　デハテ[22]　ウッテ　ブ[23]スカエデナー。|それから　今度　あの　あたりなら　なんだよなあ。それこそ　十三〔歳〕か　小学校〔を〕　終ると　はあ　（Ｂ　うん）　他へ　（Ｂ　うん　借子　うん）　頼まれて　さへ　取りになあ。（Ｂ　借子　借子に　行ったりなあ）　うん　わずかな年齢で　はあ　（Ｂ　うん）　うん　小学校　終ると　はあ　（Ｂ　うん）　さへ　取りに　どこなら　どこに　行けと。うん。すると　はあ　ほれ　朝に　早く　暗いうちから　起きて　小学校　終ってから　はあ　わずかな　奴よう　（Ｂ　うん）　さへ　取りに　出て　うんと　叱られてなあ。
