3．夜這い

話し手
（略語）　（氏名）　（性）　（生　年）
　Ａ　　　田島　正実　男　　明治29年生れ
　Ｂ　　　高橋　秀子　女　　明治31年生れ
　Ｃ　　　森田多賀恵　女　　大正4年生れ

0217601|Ａ|オカーラーノ　ジブンニワ　ヨバイト　ユー　モンガ　アリャー　セザッタカヨ。|あなたがたの　時分には　夜這と　いう　ものが　ありは　しなかったかね。
0217603|Ｂ|アッタ。アッタ。アッタワヨ。ソノ　ヨバイン＾ガ。（Ａ　ンー。）　サー　トモン＾ダチン＾ガ　ミンナー　キンジョノ　ムスメラーン＾ガ　アトゥモッテ　キテ　ワタシノ　サトエ　（Ａ　ンー。）　サトン＾デ　ミンナー　カズカズ　カルタ　トッタリ　（Ａ　ンー。）　シヨッタラ　ヨイニネー　ヨイアソビト　ユーテ　キタゼヨ。（Ａ　ンー。）　ヨバイヨリ　ウチニ　ヨイアソビ　ユーテ　アッタワヨ。（Ａ　ンー。）　ヨイニ　キタラ　オアン＾ガリナサイマセ　ユーテ　サー　ワカイシト　ムスメトン＾ガ　アトゥモッテ　オマサン　ホントー　ロクン＾ヂョーノ　マン＾ガ　ケン＾ドゥレルト［1］　ユーテ　《笑》　ナニヨ　オヤン＾ヂン＾ガ　ユータキニネー。（Ａ　ンー。）　オトーサンガ　ケン＾ドゥレルン＾ガト　ユータケンド　ソレン＾デモ　マー　ワカイ　モンモ　アトゥカーニャー　イカン　ユーテ　オカーン＾ガ　アテーノ　（Ａ　ンー　ンー　ンー。）　オカーン＾ガ　アトゥカーニャ　イカン。|あった。あった。あったわよ。その　夜這が。（Ａ　んん。）　さあ　友達が　みんな　近所の　娘などが　集まって　来て　わたしの　里へ　（Ａ　んん。）　里で　みんな　数々　カルタを　とったり　（Ａ　んん。）　していたら　宵にねえ　宵遊と　言って　来たのだよ。（Ａ　んん。）　夜這より　先に　宵遊と　言って　あったわよ。（Ａ　んん。）　宵に　来たら　お上りなさいませと　言って　さあ　わかいしと　娘とが　集まって　あなた　ほんとに　六畳の　間が　削られていたむと　言って　《笑》　あれだ　おやじが　言ったからねえ。（Ａ　んん。）　おとうさんが　削られていたむのだがと　言ったけれど　それでも　まあ　若い　者も　扱わねば　ならないと　言って　かあさんが　わたしの　（Ａ　んん　んん　んん。）　かあさんが　扱わねば　いけない。
0217708|Ｂ|ソナイニ　オトーサンガヨナ　コト　ユータチ　イカン。イカン。|そのように　おとうさんの〔言う〕ような　ことを　言ったって　いけない。いけない。
0217710|Ａ|ソリャノー。ワカイシン＾ガ　クルン＾ガン＾ガ　ユワユル　ニンキトーヒョーノ　アノ　（Ｂ　ンー。）　〈ニンキン＾ガ〉…|それはねえ。わかいしが　来るのが　いわゆる　人気投票の　あの　（Ｂ　んん。）　人気が…
0217712|Ｂ|〈オカーン＾ガ　ウント〉　アタシヨリ　オカーン＾ガ　ナニヨ。|かあさんが　うんと　あたしより　かあさんが　あれだ。
0217713|Ａ|ドコノ　オカーモ　コミコーン＾デ　〈ホントー　カカリアイン＾ヂャッタキニノー〉。|どこの　母親も　精を出して　ほんとに　競争だったからねえ。
0217802|Ｂ|〈コミコーン＾デ〉。ナント　シテ　ムスメノコオ［2］　ウラン　ナランキニ。|精を出して。なんとでもして　娘を　売りださねば　ならぬから。
0217804|Ａ|ソー。ソー。ソー。|そう。そう。そう。
0217805|Ｃ|ソレン＾ガ　アノー　（Ｂ　カカリコーン＾デ　キンジョン＾ガ）　アテイラーン＾ガ　モー　アノー　アトン＾デ　キキャー　ソレン＾ガ　イセイン＾ヂャッタトゥン＾ヂャイカ。（Ｂ　ソー。ソー。）　エー　〈ワカイシン＾ガ　ウント　キテクレルン＾ガ　イセイン＾ヂャッタ〉。|それが　あのう　（Ｂ　張り合って　近所が）　わたしなんかが　もう　あのう　後で　聞けば　それが　威勢だったというのじゃないか。（Ｂ　そう。そう。）　ええ　わかいしが　うんと　来てくれるのが　威勢だった。
0217809|Ｂ|〈【オカーノ　オカー】　ワタシノ〉　【オカーノ】　サトン＾ガ　ミセン＾ヂャッタ。（Ａ　フン。）　ミセン＾デ　アノ　イチリンヂャッタン＾ガノー。（Ａ　ンー。）　オカシオ　コーテ　キテ　ソノ　イチリンオ　イトン＾デ　トゥナイン＾デ　コー　ウエー　テンジョーエ　ナー　【ヒッ】　トゥナ　【ヒッパッチョイテ】　ツリクッテネー。（Ａ　ンー。）|かあさんの　かあさん　わたしの　かあさんの　里が　店だった。（Ａ　ふん。）　店で　あの　一厘銭だったがねえ。（Ａ　んん。）　お菓子を　買って　来て　その　一厘を　糸で　つないで　こう　上へ　天井へ　縄　ひっ　綱を　ひっぱっておいて　つりさげてねえ。（Ａ　んん。）
0217901|Ｂ|ソレン＾デ　コー　ヤッテ　アシオ　コー　オサエテ　スネン＾デ　アルイテ　イテ　コー　ヤッテ　ツリン＾グイン＾ヂャ。（Ａ　ンー。）　ソレオ　シタ。ソレモ　ナニヨ。ワカイ　モンワ　ソレン＾ガ　オモシローテ　キテ　クレタワ。（Ｃ　アー。）|それで　こう　して　足を　こう　おさえて　すねで　歩いて　いて　こう　して　釣食いだ。（Ａ　んん。）　それを　した。それも　あれだ。若い　者は　それが　おもしろくて　来て　くれたわ。（Ｃ　ああ。）
0217905|Ａ|ホンナラ　オカーワ　ナニカヨ　ソノ　ヨバイニ　コラレタ　クミカヨ。|それなら　あなたは　あれかね　その　夜這に　来られた　組かね。
0217907|Ｂ|イー　ソー。ヨバイワネー。（Ａ　ンー。）　マッコトノ　コト　ユワニャ　イカンノー。《笑》　〈ヨバイワネー〉。|はい。そう。夜這はねえ。（Ａ　んん。）　ほんとの　ことを　言わねば　いけないねえ。《笑》　夜這はねえ。
0217909|Ａ|〈モー　モー　ムカシノ　コトン＾ヂャキ〉　マッコトノ　コト　（Ｂ　ンー。）　ハナシテ　ミーヤ。|もう　もう　昔の　ことだから　ほんとの　ことを　（Ｂ　んん。）　話して　みなさいよ。
0217911|Ｂ|ソーヨ。カマウカノー。|そうよ。かまうものかねえ。
0217912|Ａ|カマウ　モンカ。|かまう　ものか。
0217913|Ｂ|アノ　キンジョノ　ムスメン＾ガ　シン＾ゴニン　キテ　クレタワ。（Ａ　ンー。）　ムスメン＾ガ　キテ　クレテ　アタシト　ホリャ　マーン＾　ゴロクニン　オッツロー。（Ａ　ンー。）　オッタトコロデ　ワカイシモ　カズカズ　クラーヨ。（Ａ　ンー。）　ウトーテ　サー　ウチン＾デ　キキヨッタトコロガ　サー　カルタ　トッテ　キキヨッタラ　ウタイン＾ダイタ。ウタイン＾ダイタケニン＾　ドーン＾デ　コリャ　マタ　ワカイシン＾ガ　キユーゼヨ　ユーテネー。（Ａ　ンー。）　ミンナーン＾ガ　キキヨッタトコロン＾ガ　タカン＾デン＾　ドゥラン＾　ドゥラン＾　ドゥラン＾　ドゥラ　ワカイシン＾ガ　シン＾ゲクラ［3］　ヘンカラ　（Ａ　ンー。）　ニューン＾ヂョー［4］　シン＾ゲクラン＾ガ　キタキ　（Ａ　ンー。ンー。ンー。）　キテ　カズモ　カズモン＾ガ　カルタ　シタリナイン＾ダリ　シテ　アソーン＾ダワヨ。（Ａ　ンー。）|あの　近所の　娘が　四五人　来て　くれたわ。（Ａ　んん。）　娘が　来て　くれて　あたしと　ほら　まあ　五六人　いただろう。（Ａ　んん。）　いたところで　わかいしも　数々　来るのだよ。（Ａ　んん。）　歌って　さあ　うちで　聞いていたところが　さあ　カルタを　取って　聞いていたら　歌いだした。歌いだしたから　どうせ　これは　また　わかいしが　来ているのだよと　言ってねえ。（Ａ　んん。）　みんなが　聞いていたところが　まあ　ずら　ずら　ずら　ずら　わかいしが　重倉の　あたりから　（Ａ　んん。）　入定　重倉が　来たから。（Ａ　んん。んん。んん。）　来て　誰も　かれもがみんな　カルタを　したりなど　して　遊んだわよ。（Ａ　んん。）
0218011|Ｂ|アソーン＾デ　セーカラ　モー　アノ　【オ】　【オトー】サンガ　ユー　コトニャ　モー　ナンヂャ　メッソ　オソーマン＾デ　オキチョッタラ　アシタ　シン＾ゴトニ　ナランキニ　アノー　ウチノ　モンモ　シン＾ゴトニ　ナラン。ネレンキニ。（Ａ　ンー。）　イソン＾ガシューテ。セーカラ　マタ　オマエラーモ　チット　ナニカニ　セニャー　イカンキニ　モー　ジューイチジン＾ガ　キタラ　カエッテ　モラオート　ユーテ　ユー　コトニ　シチョッタ。（Ａ　ンー。）　ソンデ　ミンナーン＾ガン＾　ガテンガ　イチューキニ　フン＾ダンニネー。（Ａ　ンー。）　ジューイチジン＾ガ　キタラ　モー　カエロー　ユーテ　ミンナーン＾ガ　｛マー｝　ホントー　スミマセンヨ　ユーテ　ユータラ　スマン　コトン＾ガ　アルカヨ。オソー　ナッタ　オソー　ナッタ　ユーテ　ミンナーン＾ガ　イヌル。（Ｃ　ンー。）|遊んで　それから　もう　あの　お　おとうさんが　言う　ことには　もう　なんだ　あまり　おそくまで　起きていたら　あした　仕事に　ならないから　あのう　うちの　者も　仕事に　ならない。寝られないから。（Ａ　んん。）　いそがしくて。それから　また　おまえらも　すこし　なにやかや　しなければ　いけないから　もう　１１時が　来たら　帰って　もらおうと　言って　言う　ことに　していた。（Ａ　んん。）　それで　みんなが　合点が　いっているから　普段にねえ。（Ａ　んん。）　１１時が　来たら　もう　帰ろうと　言って　みんなが　まあ　ほんとに　すみませんよと　言って　言ったら　すまぬ　ことが　あるかね。おそく　なった。おそく　なったと　言って　みんなが　帰る。（Ｃ　んん。）
0218110|Ｂ|インダケニ　モー　インダケニ　エー　モント　オモーテ　（Ｃ　アー。）　オヤラーワ　サキ　ネヨル。（Ｃ　アー。）　ネユーケンド　アタシャー　モー　トジマリョ　シチョイテ　ネニャー　イカン。モー　ミンナー　インダト　オモーテ　ネータ。ソレオン＾　ゴソン＾　ゴソ　アノ　テニ　アーン　ガン＾ガ　ノコッチョッテカラニ　キキヨッタ　モンヂャ。（Ａ　ンー。）　ドコエ　ハイッテ　ネルロー。オモテン＾デ　ネルローカ。オクエ　イクローカン＾。ドコン＾デ　ネルロート　ユー　コトオ　キオ　ツケヨッタ　モンヂャネー。（Ａ　ン。）　ソーン＾ヂャ　ナケリャー　エー　コンケンド。セカラ　キンジョノ　ムスメン＾ガ　ヒトリネー　（Ａ　ンー。）　ナンヂャン＾　ヂキニ　キンジョノ　ムスメン＾ガ　ヒトリ　（Ｃ　トマッタカ。）　トマライテ　クレー　ユーテ　トマッタ。（Ｃ　トマリヨッタカ。）|帰ったから　もう　帰ったから　いい　ものと　思って　（Ｃ　ああ。）　親たちは　さきに　寝ている。（Ｃ　ああ。）　寝ているけれど　あたしは　もう　戸締りを　しておいて　寝なければ　いけない。もう　みんな　帰ったと　思って　寝た。それを　ごそ　ごそ　あの　手に　『負』けない　のが　残っていてからに　聞いていた　ものだ。（Ａ　んん。）　どこへ　はいって　寝るだろう。表の間で　寝るだろうか。奥の間へ　行くだろうか。どこで　寝るだろうと　いう　ことを　気を　つけていた　ものだねえ。（Ａ　ん。）　そうで　なければ　来ることができないけれど。それから　近所の　娘が　ひとりねえ　（Ａ　んん。）　なんだ　すぐ　近所の　娘が　ひとり　（Ｃ　とまったか。）　とまらして　くれと　言って　とまった。（Ｃ　とまっていたか。）
0218209|Ｂ|トマッタトコロン＾ガネー　ソノ　シン＾ゲクラノン＾　ダレワ　ユワレンケンド　シン＾ゲクラノ　ワカイシン＾ヂャン＾ガノー。（Ａ　フン。）　ソレン＾ガネー　アノ　キンジョノ　ムスメワ　アタシャー　ヒン＾デコ　キンジョノ　ムスメワ　ケイコサント　ユー。（Ｃ　アー。）　ソノ　アタシノ　ハタエ　キテカラ　ソノ　オトコン＾ガ　クライロー。（Ｃ　アー　クライ。）　デンキン＾ガ　アルン＾ヂャ　ナシ。（Ｃ　エー。）　ランプ　ケシチョイテ　ネルキニ　（Ｃ　アー　ソーン＾ヂャ。）　ホラ　ホンデ　クライキニネー。（Ｃ　エー。）　ソレエ　ハイッテ　キテ　ナンヂャ　アタシノ　ミミニ　クイトゥイテ　フトイ　コエ　シタラ　オヤン＾ガ　オキルキ　《笑　声》　（Ｃ　ンー。）　アタシノ　ミミニ　クイトゥイテ　ケイコサン　ケイコサン　イーユーカノー。（Ｃ　アー。）|とまったところがねえ　その　重倉の　誰とは　言われないけれど　重倉の　わかいしだがねえ。（Ａ　ふん。）　それがねえ　あの　近所の　娘は　あたしは　秀子　近所の　娘は　桂子さんと　いう。（Ｃ　ああ。）　その　あたしの　はたへ　来てから　その　男が　暗いだろう。（Ｃ　ああ　くらい。）　電燈が　あるじゃ　なし。（Ｃ　ええ。）　ランプを　消しておいて　寝るから　（Ｃ　ああ　そうだ。）　ほら　それで　くらいからねえ。（Ｃ　ええ。）　それへ　はいって　来て　あれだ　あたしの　耳に　くっついて　大きい　声を　たてたら　親が　起きるから　《笑　声》　（Ｃ　んん。）　あたしの　耳に　くっついて　桂子さん　桂子さんと　言っているかねえ。（Ｃ　ああ。）
0218307|Ｂ|アタシャー　オカシューテ　タマランケンド　（Ｃ　エー［5］。）　ケイコサンヂャ　ナイト　ユワント　オッチャオト　オモテン＾　ダーマッテ　コーヤッテ　ネイッチュー　ソー　シチュートコロン＾ガ　（Ｃ　アー。）　コリャ　コリャ　ケイコサン　ケイコサント　ユーテ　ユスリオコスカノー。（Ｃ　アー。）　オマサン　ヒトマチン＾ガイン＾ヂャ　ナイカネト　ユータトコロン＾ガ　タカン＾デ　ソノ　オトコン＾ガ　ビックリシテ　（Ｃ　アー。）　サー　アタシノ　ハタエ　キチョッテ　イッポーエ　ハイル　ワケニモ　イカンロー。（Ｃ　イカン。）　ホリャ　ミョーニ　ワリート　オモートゥロー。（Ｃ　イ　イ　イ。）　ソノ　オトコン＾ガン＾　デテ　インダ。（Ｃ　エー。）|あたしは　おかしくて　たまらないけれど　（Ｃ　ええ。）　桂子さんでは　ないと　言わないと　おってやろうと　思って　だまあって　こうして　寝入って　いる　様子を　しているところが　（Ｃ　ああ。）　こら　こら　桂子さん　桂子さんと　言って　ゆすりおこすかねえ。（Ｃ　ああ。）　あなた　人間違では　ないのかねと　言ったところが　ひどく　その　男が　びっくりして　（Ｃ　ああ。）　さあ　あたしの　はたへ　来ていて　一方へ　入る　わけにも　いけないだろう。（Ｃ　いけない。）　ほら　妙に　悪いと　思ったろう。（Ｃ　い　い　い。）　その　男が　出て　帰った。（Ｃ　ええ。）
0218404|Ｂ|サー　アクル　バンモ　オンナジ　コト。ソノ　ワカイシン＾ガ　（Ｃ　アー。）　カズカズ　ソノ　コエン＾デ　アタシン＾ガ　ワカッチューキニ　ホリャ。（Ｃ　アー。）　アノ　ヒトン＾ヂャッタノト　ユー　コトワ　アタシン＾ガ　コエン＾デ　ワカッチューキニ。ソレン＾ガ　マタ　アクルヒ　クルローカ　クマイカト　オモーテ　オモイヨッタトコロン＾ガ　（Ｃ　アー。）　マタ　アクルバンモ　（Ｃ　キタ。）　マーター　ヨイカラ　キテ　（Ｃ　エー。）　トゥリン＾グイ　シテ　アソーン＾ダワ。（Ｃ　アー。）　アソーン＾デ　コンバンワ　イヌルローカン＾　ドー　スルロート　オモーテ　アタシモ　オモイヨッタ。オヤニモ　ユーモンカ　（Ｃ　イ　イ　イ。）　オヤニモ　ハン＾ドゥカシーキニ　（Ｃ　イー。）　コナイシテ　キタン＾ヂャ　ユーモンカ。（Ｃ　ユーモンカ。）|さあ　翌　晩も　同じ　こと。その　わかいしが　（Ｃ　ああ。）　数々　その　声で　あたしが　わかっているから　ほら。（Ｃ　ああ。）　あの　人だったのと　いう　ことは　あたしが　声で　わかっているから。それが　また　翌日　来るだろうか　来まいかと　思って　思っていたところが　（Ｃ　ああ。）　また　翌晩も　（Ｃ　来た。）　また　宵から　来て　（Ｃ　ええ。）　釣食を　して　遊んだわ。（Ｃ　ああ。）　遊んで　今晩は　帰るだろうか　どう　するだろうと　思って　あたしも　思っていた。親にも　言うものか　（Ｃ　い　い　い。）　親にも　恥ずかしいから　（Ｃ　はい。）　このようにして　来たのだと　言うものか。（Ｃ　言うものか。）
0218502|Ｂ|コジャント　トジマリョ　シチョイテ　ネヨト　ユワレチューン＾ガン＾ヂャキ　（Ｃ　アー　アー。）　ユーモンカ。セーカラ　アクルバンワン＾　ドーン＾ヂャロト　オモーテネー　（Ｃ　アー。）　オモイヨッタラ　アクルバンワ　ソンデモ　（Ｃ　アー。）　ハイッテ　コザッタ。（Ｃ　アー。）　アクルバンワ　ソノ　（Ｃ　アー。）　ケイコサント　ユー　ヒトン＾ガ　アタシンクン＾［6］デ　（Ｃ　アー。）　トマラザッタキ。（Ｃ　アー。）　ホンデ　カエッタキニ　（Ｃ　ン。）　ホンデ　ケイコサンクエ　イトゥローゾノー。（Ｃ　アーーー　ソーカ　ソーカ。）　ソンデネー　ヨク　アタシヨリ　ソノ　ケイコサンガ　ヨカッタ　モンヂャ。（Ｃ　ヨカッタカ。）|きちんと　戸締りを　しておいて　寝よと　言われているのだから　（Ｃ　ああ　ああ。）　言うものか。それから　翌晩は　どうだろうと　思ってねえ　（Ｃ　ああ。）　思っていたら　翌晩は　それでも　（Ｃ　ああ。）　はいって　来なかった。（Ｃ　ああ。）　翌晩は　その　（Ｃ　ああ。）　桂子さんと　言う　人が　あたしとこで　（Ｃ　ああ。）　とまらなかったから。（Ｃ　ああ。）　それで　帰ったから　（Ｃ　ん。）　それで　桂子さんとこへ　行っただろうねえ。（Ｃ　ああああ　そうか　そうか。）　それでねえ　よく　あたしより　その　桂子さんが　よかった　ものだ。（Ｃ　よかったか。）
0218512|Ｂ|ノー。（Ｃ　ソーカ　ソーカ。）　《笑》　アター　（Ｃ　アーー。）　ソンナ　コトン＾ガ　アッタ。（Ｃ　アーー。）|ねえ。（Ｃ　そうか　そうか。）　《笑》　あたしは　（Ｃ　あああ。）　そんな　ことが　あった。（Ｃ　あああ。）
0218601|Ａ|ソンナラ　オバーワ　バーレタ　クミン＾ヂャ　ナカッタカ。|そんなら　ばばさん〔あなた〕は　奪い合われた　組では　なかったか。
0218602|Ｂ|バーレタ　クミン＾ヂャ　ナイ。（Ｃ　ホンナ。）|奪い合われた　組では　ない。（Ｃ　そんな。）
0218603|Ａ|ウソー　イーナヨ。《笑》|うそを　言いなさるなよ。《笑》
0218604|Ｂ|キラーレチョッタ。《笑》　ソリャ　ケイコサント　ユー　ヒトワネー　キレーナ　ヒトン＾ヂャッタ。（Ａ　ンー。）　（Ｂ　ンー。）　アタシヨリ　ズット　キレーナ　ヒトン＾ヂャッタ。（Ｃ　アー。）　アタシャーン＾　ドン＾ダイ　イカン。《笑》　キレーニ　ナイケンド　アタシャー　コンナ　クチタタキン＾ヂャキニ　ホリャ。（Ａ　【アタ】［7］）　アソビニャ　キテクレタケンド｛　　｝。|きらわれていた。《笑》　それは　桂子さんと　言う　人はねえ　きれいな　人だった。（Ａ　そう。）　（Ｂ　んん。）　あたしより　ずっと　きれいな　人だった。（Ｃ　ああ。）　あたしは　全く　いけない。《笑》　きれいに　ないけれど　あたしは　こんな　おしゃべりだから　ほら。（Ａ　あた）　遊びには　来てくれたけれど
0218610|Ａ|【アタシワ】　ヨバイト　ユー　コトワー　ショッチュー　キータケンドノー　（Ｂ　エー。）　イタ　コトン＾ガ　ナイ。《笑》　ヨバイエワ。（Ｂ　イカンカヨ。）　マー　ヨアソビト　ユー　コトワ　ヤッタワヨ。ソリャ　ヤッタ　モンヨ。|わたしは　夜這と　言う　ことは　しょっちゅう　聞いたけれどねえ　（Ｂ　ええ。）　行った　ことが　無い。《笑》　夜這へは。（Ｂ　行かないかね。）　まあ　夜遊と　言う　ことは　やったんだよ。それは　やった　ものよ。
0218701|Ｂ|タキモトカラワネー　アタシラークエモ　キタ　モンワン＾　ダレッチャー　ナイ。マー　ニューン＾ヂョー　シン＾ゲクラバー。|滝本からはねえ　あたしたちのところへも　来た　者は　誰も　無い。まあ　入定　重倉くらい。
0218703|Ａ|アタシラー　ホリャ　アノ　ショーブエ［8］　イタ。ショーブノ　アノ　ナン＾ダカイ　（Ｂ　タイマツノ）　ンー。《笑》|わたしなどは　ほら　あの　菖蒲へ　行った。菖蒲の　あの　名高い　（Ｂ　松明の）　んん。《笑》
0218705|Ｂ|アノ　スモエ　キタカ。|あの　角力へ　来たか。
0218706|Ａ|ソー。ショーブマン＾デ　〈イタケンド　ソリャ　ソレン＾ガ　アノネー　ベッピンオ　オワエテ　ヨアソビワ　シタケンド　イカンナン＾ガラ　ヨバイワ　エー　セザッタ〉。|んん。菖蒲まで　行ったけれど　それは　それが　あのねえ　別嬪を　追っかけて　夜遊は　したけれど　いかんながら　夜這は　することができなかった。
0218709|Ｂ|〈オーケナ　オーン＾ダイマトゥオ　シテノー。ショーブン＾ダニノ　ホーカラ。ソリャ　ナン＾ダカカッタゼヨ。イマー　イマー　ソノイニ　センニカーランケンドネー。マエワ　ホントー　マコト〉　コノ　ザノ　ミチューロー。コノ　ザノ　イッパイバーオ　グルリット　マルメタバーノ　タイマトゥン＾ヂャッタノー。ソレオネー　タイマトゥオ　ツケチョイテ　スモーオ　トッタキニ。（Ａ　ンー。）　スモーオ　トルニ。|大きな　大松明を　つくってねえ。菖蒲谷の　方から。それは　名高かったのだよ。今は　今は　そのように　しないらしいけれどねえ。前は　ほんとに　真実　この　座の　見ているだろう。この　座の　いっぱいくらいを　ぐるりっと　丸めたくらいの　松明だったねえ。それをねえ　松明を　つけておいて　角力を　取ったから。（Ａ　んん。）　角力を　取るのに。
0218803|Ｃ|ソリャ　ナトゥマトゥリカナンゾカノ。|それは　夏祭りかなんぞかね。
