8．稲の不作

話し手
（略語）　（氏名）　（性）　（生　年）
　Ａ　　　田島　正実　男　　明治29年生れ
　Ｂ　　　高橋　秀子　女　　明治31年生れ
　Ｃ　　　森田多賀恵　女　　大正4年生れ

0224101|Ｂ|マー　イネン＾ガ　ムシニ　クワレタ　ユータラ|まあ　稲が　虫に　食われたと　言ったら
0224102|Ａ|ソーネー　アレン＾ガネー|そうえね　あれがねえ
0224103|Ｂ|〈スン＾ドーシン＾ヂャネー　イネン＾ガ　ムシニ　クワレタワ〉。|螟虫だねえ　稲が　虫に　食われたのは。
0224104|Ａ|〈ショーワノ　ニジュ〉ーン＾　ゴネンヂャッタト　オモウン＾ガネー。コレワン＾　ダイイモチン＾デネー。イモチビョーン＾ガン＾　ダイハッセイン＾デネー　ホトンド　ゼンメトゥヤッタワネ。|昭和の　二十五年だったと　思うがねえ。これは　大いもちでねえ。いもち病が　大発生でねえ　ほとんど　全滅だったね。
0224107|Ｂ|ソー　ソー　（Ａ　エー。）　イモチン＾デネー　（Ａ　エー。）　ウーント　ヤラレタ。|そう　そう　（Ａ　ええ。）　いもちでねえ　（Ａ　ええ。）　うんと　やられた。
0224201|Ａ|ホトンド　ゼンメトゥン＾デネー。（Ｃ　ンー。）　アタシラーモ　ナンダンモネー　ホトンド　コメノ　トレン　タンボン＾ガン＾　デキテネ。|ほとんど　全滅でねえ。（Ｃ　んん。）　わたしなども　何段もねえ　ほとんど　米の　取れない　たんぼが　できてね。
0224204|Ｂ|イモチノ　コン　アノー｛　　｝。|いもちの　来ん　あのう。
0224205|Ａ|〈マエワ　アノー　イモチ　イモチ　ユーケンド〉　マエワ　シジレル［1］ト　ユーテネ。|前は　あのう　いもち　いもちと　言うけれど　前は　「しじれる」と　言ってね。
0224207|Ｃ|シジレルト　イーヨッタ。マコト　マッコト　シジレル　（Ｂ　イマリャ。）　イネン＾ガ　シジレタト　イーヨッタ。シジレテ　シモータト。（Ｃ　ンー。）　ソリャー　ヒン＾ドカッタン＾デス。〈ホトンドノ　ナンコクシ　ゼンイキン＾ガ　ヤラレマシタワ〉。|「しじれる」と　言っていた。ほんと　ほんとに　「しじれる」　（Ｂ　今は。）　稲が　「しじれた」と　言っていた。「しじれて」　しまったと。（Ｃ　んん。）　それは　ひどかったです。ほとんどの　南国市　全域が　やられましたさ。
0224211|Ｂ|〈｛　　｝　シジレタト　イーヨッタ〉。モー　ソー　キタラ　コンド　カエリノ　ホン＾ガン＾　デタチー　イカザッタネー。|「しじれた」と　言っていた。もう　そう　来たら　今度　返りの　穂が　出ても　だめだったねえ。
0224213|Ａ|ソノ　トージワ　セカラ　タマランゼー。ジブンクノ　タン＾ヂャ　ナイ　ヒトノンクノ　タオ　カッチュートネー　（Ｂ　ンー。）　カリチンガン＾　ドー　ナットタラー　イッタンブン＾デ　シヒョーカラ　シヒョーハン　（Ｂ　ンー。）　マン＾ダ　エー　タン＾ヂャーッタラン＾　ゴヒョーン＾　ヂヌシエ　オサメニャ　イカザッタキニノー。|その　当時は　それから　たまらないよ。自分ところの　田では　ない　他人のところの　田を　借りているとねえ　（Ｂ　んん。）　借賃が　どう　だと言えば　一反歩で　四俵から　四俵半　（Ｂ　んん。）　まだ　よい　田だったら　五俵を　地主へ　納めなければ　いけなかったからねえ。
0224305|Ｃ|コサクシチュー　モナ　ソーヤッタネー。ソレン＾デ　（Ｂ　ンー。）　ロッピョー　トレタラ　イッピョーン＾グライシカ　ジブンノ　クイリョーン＾ガ　ナカッタキノー。（Ｂ　ソー　ソー。）　ソレン＾デ　ソー　ユー　フサクニ　ナッテ　キタラネー　モチロン　ヂヌシエ　タイシテモ　モー　ヤローチ　コミャ　ナイ。（Ｂ　ソー。）　ネー。ジブンモ　ヒトトゥモ　クー　コミャ　ナイ。（Ｂ　ソー。）　コー　ユーヨーナ　ジョーキョーン＾ヂャッタ。ネー。|小作している　者は　そうだったねえ。それで　（Ｂ　んん。）　六俵　取れたら　一俵ぐらいしか　自分の　食う食糧が　無かったからねえ。（Ｂ　そう　そう。）　それで　そう　いう　不作に　なって　来たらねえ　勿論　地主へ　対しても　もう　やろうたって　米は　無い。（Ｂ　そう。）　ねえ。自分も　少しも　食う　米は　無い。（Ｂ　そう。）　こう　いうような　状況だった。ねえ。
0224312|Ｂ|アノ　イモチワ　タマラン。イモチン＾ガ　キタト　ユータラ。|あの　いもちは　たまらない。いもちが　来たと　言ったら。
0224313|Ａ|ソレワ　アノ　ニジューン＾ゴネンワ　ジトゥニ　ヒン＾ドカッタワネ。|それは　あの　二十五年は　実に　ひどかったね。
0224401|Ｂ|ヒャクショーワ　アンナニ　ムシニ　ヤラレタリ　イモチン＾ガ　キタリ　シタラ　マッコト　マッコト　トゥクッテモ　ウルサイワネー。|百姓は　あんなに　虫に　やられたり　いもちが　来たり　したら　ほんとに　全く　つくっても　難儀だねえ。
0224404|Ａ|マー　ヒョクショーノ　ハナシニ　ナッタキニ　チョット　アテイン＾ガ　ハナスケンドノー　ジッサイ　ソノ　ナニエ　ヘイネンサクオ　ムカエテモ　ソノ　トージワ　【ホーサクト】　【ホーネント】　ユー　トシン＾デ　シチヒョーン＾ヂャネー。（Ｂ　ンー。）　マン＾ドゥ　ヘイネンガ　ロッピョー　（Ｂ　ンー。）　チョット　ヘタ　ウッタラン＾　ゴヒョーシカ　（Ｂ　ンー。）　タントー　ナカッタキノー。ソレン＾デン＾　ヂヌシエ　シヒョー　ナイシン＾　ゴヒョー　ハロータラネー　（Ｂ　ンー。）　コサクン＾ガ　クー　モノワ　イッピョーカ　ソコラカシカ　ナカッタ。（Ｂ　ソー。）　ヘイネンサクン＾デ　アッテモヤネ。ン＾ダカラネー　タキモトノネー　アタシャー　ヨソノ　【ブラクワ】　ヨソノ　【クミワ】　アマリ　マ［2］　クワシュー　ナイキ　ユワンケンド　コノ　アタシラーノ　カミン＾グミノネー　（Ｂ　ンー。）　ヒャクショーン＾デネー　（Ｂ　ンー。）　イチネンヂュー　フチマエオ　クイトゥン＾ドゥク　ヒャクショーン＾ガ　ナカッタ。|まあ　百姓の　話に　なったから　ちょっと　わたしが　話すけれどねえ　実際　その　何へ　平年作を　迎えても　その　当時は　豊作と　豊年と　言う　年で　七俵だねえ。（Ｂ　んん。）　まず　平年が　六俵　（Ｂ　んん。）　ちょっと　下手をしたら　五俵しか　（Ｂ　んん。）　反当　無かったからね。それで　地主へ　四俵　乃至　五俵　払ったらねえ　（Ｂ　んん。）　小作人が　食う　者は　一俵か　そこらしか　無かった。（Ｂ　そう。）　平年作で　あってもだね。だからねえ　滝本のねえ　わたしは　よその　部落は　よその　組は　あまり　ま　くわしく　ないから　言わないけれど　この　わたしたちの　上組のねえ　（Ｂ　んん。）　百姓でねえ　（Ｂ　んん。）　一年中　扶持米を　食いつなぐ　百姓が　無かった。
0224506|Ａ|フサクトージワ。|不作当時は。
0224507|Ｂ|ソーン＾ヂャロネー。フサクン＾ヂャッタラ　アル　モンカ。|そうだろうねえ。不作だったら　ある　ものか。
0224508|Ａ|フサクト　キタラ　タイシタ　コトワ　ナイ。ネ。（Ｂ　ンー。）　ダカラ　マー　ソノ　トージ　ワタシン＾ガ　ジャッカン　アノー　タモ　ヨケ　トゥクッチョッタキニン＾　ドーニカ　コーニカ　アノ　カゾクン＾ガ　クイトゥナン＾グン＾ダケノ　コメオ　モッチョッタン＾ガネー。（Ｂ　ンー。）　ソノ　ナトゥノ　ハザカイキン＾ガ　キタラネー　（Ｂ　ンー。）　キンジョノ　ヒトン＾ガ　チクト　シンマエン＾ガ　トレルマン＾デ　カシテ　クレンカト　ユーテネー。（Ｂ　ンー　ンー。）　ソー　ユーヨーナ　ジョーキョーン＾ヂャッタネー。（Ｂ　ンー。）　マエノ　ホンデ　ヒャクショーノ　ヒトノ　タンボオ　カッテ　シヨル　ヒャクショーワ　ソレワ　ミジメナ　ミジメナ　モンヂャッタワヨ。（Ｂ　〈ソーン＾ヂャットゥロ〉。）|不作と　来たら　たいした　ことは　ない。ね。（Ｂ　んん。）　だから　まあ　その　当時　わたしが　若干　あのう　田も　たくさん　つくっていたから　どうにか　こうにか　あの　家族が　食いつなぐだけの　米を　持っていたがねえ。（Ｂ　んん。）　その　夏の　端境期が　来たらねえ　（Ｂ　んん。）　近所の　人が　すこし　新米が　取れるまで　貸して　くれないかと　言ってねえ。（Ｂ　んん　んん。）　そう　いうような　状況だったねえ。（Ｂ　んん。）　前の　それで　百姓の　人の　田圃を　借りて　やっている　百姓は　それは　みじめな　みじめな　ものだったのさ。（Ｂ　そうだったろう。）
0224606|Ｃ|〈ムカシワ〉　コジャント　ビンボシタ　ワケヨネー。|昔は　随分　貧乏した　わけよねえ。
0224607|Ｂ|ビンボーシタ。|貧乏した。
0224608|Ｃ|コジャント　ビンボシタ。|ひどく　貧乏した。
0224609|Ｂ|ビンボーシタ。|貧乏した。
